Título;Saldo estoque;Preço;Código de barras
"Revista Graciliano Nº12 - A Hora e a vez da Literatura em Al";23;10.00;
"Revista Graciliano Nº14 - Design Alagoano e Identidade";86;10.00;
"Revista Graciliano Nº15 - Centenário em Dose Dupla";170;10.00;
"Revista Graciliano Nº16 - O Cinema Alagoano Pede Passagem";74;10.00;
"Revista Graciliano Nº17 - Na Trilha da Música";11;10.00;
"Revista Graciliano Nº18 - Os Caminhos Trilhados Por Gracilian";28;10.00;
"Revista Graciliano Nº20- Carne de Carnaval";70;10.00;
"Revista Graciliano Nº24- Arte Fora da Lei";0;10.00;
"Revista Graciliano Nº25 - Maceió 200 Anos";0;10.00;
"Revista Graciliano Nº26 - Djavan";0;10.00;
"Revista Graciliano Nº27 - Fauna Viva";70;10.00;
"Revista Graciliano Nº28 - Zumbi";0;10.00;
"Revista Graciliano Nº29 - Instante Capturado";80;10.00;
"Revista Graciliano Nº30 - Manifesto Popula";183;10.00;
"Revista Graciliano Nº31 - Calabar";1050;15.00;
"Revista Graciliano Nº32 - Terra dos Marechais";715;20.00;
"CARLOS MOLITERNO";0;0.00;
"A Ilha - Carlos Moliterno";283;30.00;
"Desencontro";320;30.00;
"Notas Sobre Poesia Moderna em Alagoas";264;30.00;
"ROMEU DE AVELAR";0;0.00;
"Os Devassos";217;30.00;
"Calabar - Romeu de Avelar";165;30.00;
"Tântalos";0;30.00;
"EDITAL";0;0.00;
"O Cortiço";0;0.00;
"A Fábrica de Bonecos de Olinda e Outras Histórias";341;25.00;
"A Importância de Se Chamar Kurt Russel";388;25.00;
"Caderno de Anotações";288;25.00;
"Cavia Porcellus";382;25.00;
"Do Caos";367;25.00;
"Giz Morrendo";324;25.00;
"Notas Sobre Leituras";281;25.00;
"Pedra Perdendo Seiva";315;25.00;
"Solidões";331;25.00;
"Valsa Triste";376;25.00;
"Veludo Violento";114;25.00;
"O Orvalho e os Dias";319;25.00;
"Manifesto Sururu: Por Uma Antropofagia das Coisas Alagoana";0;0.00;
"Doce de Mamão-Macho";263;25.00;
